#: $p_{T	jet}^{ch}$ $(\mathrm{GeV}/c)$			$R=0.4$					
# $p_{T,jet}^{ch}$ $(\mathrm{GeV}/c)$	$p_{T,jet}^{ch}$ $(\mathrm{GeV}/c)$ LOW	$p_{T,jet}^{ch}$ $(\mathrm{GeV}/c)$ HIGH	$R_{AA}(0-10\%)$	statistical +	statistical -	shape +	shape -	correlated +	correlated -
6.45	6	7	0.0687	0.00026	-0.00032	0.008	-0.004	0.007	-0.006
7.45	7	8	0.098	0.0004	-0.0005	0.009	-0.01	0.006	-0.01
8.79	8	10	0.1242	0.0004	-0.0005	0.024	-0.013	0.017	-0.012
10.79	10	12	0.1605	0.0009	-0.0009	0.05	-0.028	0.018	-0.021
12.86	12	14	0.1812	0.0024	-0.0024	0.07	-0.034	0.029	-0.02
14.93	14	16	0.2117	0.0013	-0.001	0.08	-0.04	0.035	-0.025
17.57	16	20	0.2501	0.002	-0.002	0.08	-0.05	0.05	-0.04
22.01	20	25	0.292	0.005	-0.004	0.11	-0.06	0.08	-0.04
26.64	25	30	0.356	0.008	-0.013	0.14	-0.08	0.11	-0.06

